Test5ビル,7,24,2000,7,24,1000,32,115,80,-70,-90,45
Test6ビル,-5,16,2083,-5,16,917,30,80,20,-20,80,0
Test7ビル,90,99,1750,90,150,1250,30,80,150,-20,79,0
Test1ビル,5,10,2083,5,10,917,40,30,31,20,15,0
Test2ビル,12,25,1917,13,25,833,40,30,60,20,15,0
Test8ビル,101,99,2333,101,161,1000,40,40,110,40,40,0
Test3ビル,18,25,1833,18,25,1167,60,50,31,75,25,0
Test3ビル,18,25,2250,18,25,1333,40,50,100,80,15,0
Test9ビル,3,95,2083,3,95,1833,55,70,120,160,35,0
新丸の内ビルディング,87,99,2083,87.333,147.333,0,36,30,197.6,40,25,0
新丸の内ビルディング,87,99,2083,87.333,147.333,0,49,39,31,42.5,25.5,0
丸の内ビルディング,82,99,3333,82.667,142.667,0,25,35,180,-39.5,27.5,0
丸の内ビルディング,82,99,3333,82.667,142.667,0,46,39,31,-45,25.5,0
丸ノ内ビルヂング,3,79,2583,3.167,79,333,46,39,31,-45,25,0
郵船ビルディング,58,99,1500,58.167,118.167,0,24,42,70.4,-33,80,0
日本郵船会社本社,3,56,2500,3.417,56.25,417,24,42,31,-33,80,0
東京海上(日動)ビルディング本館,54,99,3333,54.25,114.25,0,18,27,99.7,31,85.5,0
東京海上ビルディング(旧館),-2,46,4750,-1.25,46.95,417,18,41,33,31,78.5,0
東京海上(日動)ビルディング新館,66,99,2000,66.95,126.95,0,19,36,71,59.5,79,0
東京海上ビルディング新館,10,63,2917,10.167,63,1000,20,40,33,58,78,0
三菱商事ビル,86,99,2250,86.25,146.25,0,18,41,114.83,-60,79.5,0
丸の内三井ビルディング,61,99,1167,61.167,121.167,0,19,21,43,-93,91.5,0
内外ビルディング(昭和ビルディング),7,59,1417,7.583,59.083,583,19,21,24,-93,91.5,0
岸本ビルヂング,60,99,1833,60.5833,120.5833,0,31,21,43,-118.5,91.5,0
時事新報ビル(岸本ビル),6,58,1500,6,58.5,250,31,21,24,-118.5,91.5,0
丸の内仲通りビル(三菱電機ビルヂング),43,99,1250,43.083,103.083,0,50,18,33,-109,67,0
三菱仲13号館別館(丸ノ内三菱倶楽部),15,40,750,15.25,41,833,22,8,13,-123,72,0
三菱仲13号館(第24号館),-3,41,1.75,-2.917,41,833,31,9,17,-118.5,62.5,0
三菱仲15号館,-1,41,1.5,-0.667,41.5,333,19,18,17.8788,-93,67,0
