三菱ビルヂング,53,100,1500,53.25,110,0,50.365,25.2102,69.7,-108.6444,16.5662,0
三菱本館(新館),0,51,5750,1.667,51.25,500,50.16,25.211,17.82,-108.34,16.507,0
仲9号館(第7号館),-16,36,4583,-15.417,36,249,9.54,19.3,5.94,-199.47,69.61,0
造船会館(仲9号館別館),21,25,334,21.917,25,166,18.2935,9.8626,8.06,-183.9922,73.9624,0
大手町ファーストスクエア(ウエストタワー),72,100,2417,72.167,110,0,0,0,107,0,0,0
大手町ファーストスクエア(イーストタワー),77,100,3000,77.417,110,0,0,0,107,1,1,0
明治安田生命ビル,84,100,3083,84.75,110,0,0,0,147,2,2,0
JPタワー,92,100,2500,92.417,110,0,0,0,200,3,3,0
丸の内パークビルディング,89,100,2167,89.333,110,0,36.65,36.72,157,-163.88,29.818,0
古河ビルヂング,46,86,2584,46.417,86.583,584,62.1,15,31,-172.09,38.7389,0
三菱商事ビルヂング,51,86,2166,51.083,86.583,584,33.1122,25.04,31,-186.6899,15.963,0
仲10号館別館,17,46,0,40.333,46,747,18.4,8.25,28.21,-183.186,41.8622,0
仲10号館8号,-3,38,582,-2.001,38,332,12.576,6.4552,9,-188.466,33.76,0
仲10号館9号,-2,38,582,-1.001,38,332,7.05,6.4552,9,-177.77,33.76,0
東京ビルディングTOKIA,85,100,921,85.833,110,0,73.68,29.434,164.1,-161.8316,-53.2462,0
東京ビルヂング,31,83,1250,31.75,35.25,0,36.82,24.5,32,-180.754,-55.509,0
東京ビルヂング,31,83,0,35.25,52.5,0,73.69,25.01,32,-161.83,-55.4559,0
東京ビルヂング,31,83,0,52.5,83.833,1079,73.69,25.01,38.2,-161.83,-55.4559,0
大手町フィナンシャルセンター,72,91,2000,72,91.167,832,19.8,40.2,105,256.3828,25.746,0
造船会館,24,25,500,24.167,25,166,18.29,19.344,6,-183.5352,68.908,0
丸の内永楽ビルディング,92,100,2333,92.083,110,0,39,38.91,150,144.96,26.47,0
交通公社ビルヂング,40,60,1916,40.999,60,500,13.527,27.2503,36.27,142.7209,-64.1576,0
交通公社ビルヂング,40,60,1916,40.999,60,500,14.5827,13.6251,36.27,156.7326,-71.4513,0
富士製鐵ビルヂング,42,51,1500,42.25,51.999,0,25,18,30,-260.96,-71.4513,0
仲5号館(第15号館),-8,40,1000,-7.75,40,750,6.9687,18.2974,6,-269.9922,68.1592,0
仲5号館(第17号館),-8,40,1000,-7.75,40,750,16.1283,9.0079,6,-258.2805,63.6257,0
仲7号館(第13号館),-9,40,3417,-8.833,40,750,13.7029,9.0062,6,-237.4899,63.6257,0
仲7号館(第13号館),-9,40,3417,-8.833,40,750,7.9188,18.1486,6,-226.6716,68.2222,0
仲7号館別館,5,40,500,5.333,40,750,11.59,4.9157,12.09,-238.1613,75.2248,0
富士ビルヂング,42,95,0,51.999,95,1000,50.686,18.1464,30,-248.3354,68.088,0
明治生命館,10,81,3500,14.25,81.667,0,21.2965,46.68,33.3,-181.276,91.0739,0
三菱銀行本店,2,14,5833,2.25,14.583,0,61.26,28.35,11.88,-170.77,-24.0082,0
三菱銀行本店,17,57,2667,17.25,57.333,400,50.96,21.8,20.15,-176.1376,-21.119,0
三菱UFJ銀行本店,60,110,2667,60.583,110,0,68.776,28.35,110,-167.233,-24.3553,0
